Rk,I,Player,Split,Year,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,,Hunter Pence,Last 365days,2014,162,162,691,627,93,173,38,5,24,91,22,3,57,108,.276,.339,.467,.806,293,17,4,0,3,4,7,.299,168,125
2,,Brandon Belt,Last 365days,2014,151,135,586,527,83,159,38,4,23,72,4,2,51,129,.302,.369,.520,.889,274,4,6,1,1,4,4,.362,106,148
3,,Buster Posey,Last 365days,2014,149,140,600,526,63,153,30,0,17,71,2,1,62,70,.291,.368,.445,.813,234,14,6,0,6,10,3,.306,123,128
4,,Brandon Crawford,Last 365days,2014,147,136,542,490,46,119,25,4,7,44,2,2,43,100,.243,.306,.353,.659,173,8,4,0,5,6,4,.289,67,86
5,,Gregor Blanco,Last 365days,2014,142,102,481,424,46,108,15,7,3,38,12,9,49,88,.255,.331,.344,.676,146,9,1,4,3,4,6,.313,247,91
6,,Pablo Sandoval,Last 365days,2014,141,138,586,526,52,136,26,2,13,67,0,0,50,89,.259,.326,.390,.716,205,19,5,0,5,4,4,.287,178,101
7,,Joaquin Arias,Last 365days,2014,102,52,247,235,18,62,9,2,1,18,1,0,5,36,.264,.280,.332,.612,78,4,1,4,2,1,1,.305,227,72
8,,Angel Pagan,Last 365days,2014,70,65,303,279,36,84,18,2,6,31,11,3,23,39,.301,.353,.444,.798,124,2,0,0,1,1,0,.332,84,123
9,,Hector Sanchez,Last 365days,2014,69,25,148,137,6,32,6,0,3,22,0,0,5,34,.234,.277,.343,.620,47,2,4,0,2,0,0,.284,215,74
10,,Javier Lopez,Last 365days,2014,67,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,0,,,
11,,Sergio Romo,Last 365days,2014,61,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,0,,,
